name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,url
Knight Charles Parsons,M,1829–1897,1829,1897,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/charles-parsons-knight-311
Knight Dame Laura,F,1877–1970,1877,1970,"Long Eaton, United Kingdom","Saint John's Wood, United Kingdom",http://www.tate.org.uk/art/artists/dame-laura-knight-1424
Knight Harold,M,1874–1961,1874,1961,"Nottingham, United Kingdom","Gloucestershire, United Kingdom",http://www.tate.org.uk/art/artists/harold-knight-1423
Knight John Baverstock,M,1785–1859,1785,1859,"Dorset, United Kingdom","Dorset, United Kingdom",http://www.tate.org.uk/art/artists/john-baverstock-knight-313
Knight John Prescott,M,1803–1881,1803,1881,"Stafford, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/john-prescott-knight-314
Knight John William Buxton,M,1842–1908,1842,1908,"Sevenoaks, United Kingdom","Dover, United Kingdom",http://www.tate.org.uk/art/artists/john-william-buxton-knight-312
Knight Joseph,M,1837–1909,1837,1909,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/joseph-knight-315
Knights Winifred,F,1899–1947,1899,1947,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/winifred-knights-1425
Knowles Justin,M,1935–2004,1935,2004,"Exeter, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/justin-knowles-1426
Koch Eleanor,F,born 1926,1926,1974,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/eleanor-koch-1427
Kochergin Nikolai,M,1897 – 1974,1897,1974,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/nikolai-kochergin-17121
Koenig Ghisha,F,1921–1993,1921,1993,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/ghisha-koenig-1428
Kogout Nikolai,M,1891–1959,1891,1959,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/nikolai-kogout-5645
Koh Terence,M,born 1977,1977,2002,"Beijing, Zhonghua",Unknown,http://www.tate.org.uk/art/artists/terence-koh-10838
Kohn Misch,F,1916–2002,1916,2002,"Kokomo, United States","Castro Valley, United States",http://www.tate.org.uk/art/artists/misch-kohn-1429
Kokoschka Oskar,M,1886–1980,1886,1980,"Pöchlarn, Österreich","Montreux, Schweiz",http://www.tate.org.uk/art/artists/oskar-kokoschka-1430
Kolár Jirí,M,1914–2002,1914,2002,"Protivín, Ceská Republika","Praha, Ceská Republika",http://www.tate.org.uk/art/artists/jiri-kolar-2209
Kolárová Bela,F,1923–2010,1923,2010,"Terezín, Ceská Republika","Praha, Ceská Republika",http://www.tate.org.uk/art/artists/bela-kolarova-12618
Kolíbal Stanislav,M,born 1925,1925,2007,"Orlová, Ceská Republika",Unknown,http://www.tate.org.uk/art/artists/stanislav-kolibal-1431
Koller Július,M,1939–2007,1939,2007,"Pieštany, Slovenská Republika","Bratislava, Slovenská Republika",http://www.tate.org.uk/art/artists/julius-koller-10345
Komatsu André,M,born 1978,1978,1969,"São Paulo, Brasil",Unknown,http://www.tate.org.uk/art/artists/andre-komatsu-15101
Komura Kiyohiko,M,1899–1969,1899,1969,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/kiyohiko-komura-14424
Konzal Joseph,M,1905–1994,1905,1994,"Milwaukee, United States","New York, United States",http://www.tate.org.uk/art/artists/joseph-konzal-1432
Koo Jeong-A,F,born 1967,1967,1997,Taehan Min'guk,Unknown,http://www.tate.org.uk/art/artists/koo-jeong-a-10562
Kooning Willem de,M,1904–1997,1904,1997,"Rotterdam, Nederland","East Hampton, United States",http://www.tate.org.uk/art/artists/willem-de-kooning-1433
Koons Jeff,M,born 1955,1955,1980,"York, United States",Unknown,http://www.tate.org.uk/art/artists/jeff-koons-2368
Koppel Heinz,M,1919–1980,1919,1980,"Berlin, Deutschland",Unknown,http://www.tate.org.uk/art/artists/heinz-koppel-1434
Kopystiansky Igor,M,born 1954,1954,1967,"L`viv, Ukrayina",Unknown,http://www.tate.org.uk/art/artists/igor-kopystiansky-10328
Kopystiansky Svetlana,F,born 1950,1950,1967,"Voronezh, Ukrayina",Unknown,http://www.tate.org.uk/art/artists/svetlana-kopystiansky-10329
Korner John,M,born 1913,1913,1967,"Morava, Ceská Republika",Unknown,http://www.tate.org.uk/art/artists/john-korner-1435
Koshimizu Susumu,M,born 1944,1944,1967,Nihon,Unknown,http://www.tate.org.uk/art/artists/susumu-koshimizu-11583
Kossoff Leon,M,born 1926,1926,1967,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/leon-kossoff-1436
Kosuth Joseph,M,born 1945,1945,1967,"Toledo, United States",Unknown,http://www.tate.org.uk/art/artists/joseph-kosuth-1437
Kounellis Jannis,M,born 1936,1936,1967,"Piraiévs, Ellás",Unknown,http://www.tate.org.uk/art/artists/jannis-kounellis-1438
Kovanda Jiri,M,born 1953,1953,1967,"Praha, Ceská Republika",Unknown,http://www.tate.org.uk/art/artists/jiri-kovanda-10668
Kozlinsky Vladimir,M,1891 – 1967,1891,1967,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/vladimir-kozlinsky-17127
Kramer Harry,M,born 1925,1925,1962,"Lingen, Deutschland",Unknown,http://www.tate.org.uk/art/artists/harry-kramer-1439
Kramer Jacob,M,1892–1962,1892,1962,Ukrayina,Unknown,http://www.tate.org.uk/art/artists/jacob-kramer-1440
Krasinski Edward,M,1925–2004,1925,2004,"Lutsk, Ukrayina","Warszawa, Polska",http://www.tate.org.uk/art/artists/edward-krasinski-10009
Krasner Lee,F,1908–1984,1908,1984,"New York, United States","New York, United States",http://www.tate.org.uk/art/artists/lee-krasner-1441
Krsinic Frano,M,1897–1981,1897,1981,"Korcula, Otok, Hrvatska","Zagreb, Hrvatska",http://www.tate.org.uk/art/artists/frano-krsinic-1442
Kruger Barbara,F,born 1945,1945,1998,"Newark, United States",Unknown,http://www.tate.org.uk/art/artists/barbara-kruger-1443
Krzywoblocki Wojciech,M,born 1938,1938,1998,"L'viv, Ukrayina",Unknown,http://www.tate.org.uk/art/artists/wojciech-krzywoblocki-1444
Kudryashov Oleg,M,born 1932,1932,1998,"Moskva, Rossiya",Unknown,http://www.tate.org.uk/art/artists/oleg-kudryashov-1445
Kuitca Guillermo,M,born 1961,1961,1998,"Buenos Aires, Argentina",Unknown,http://www.tate.org.uk/art/artists/guillermo-kuitca-7334
Kulmer Ferdinand,M,1925–1998,1925,1998,France,Unknown,http://www.tate.org.uk/art/artists/ferdinand-kulmer-1446
Kunkel Don,M,born 1933,1933,1957,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/don-kunkel-1447
Kunst Mauro,M,born 1930,1930,1957,"São Paulo, Brasil",Unknown,http://www.tate.org.uk/art/artists/mauro-kunst-1448
Kuper Roi,M,born 1956,1956,1957,Yisra'el,Unknown,http://www.tate.org.uk/art/artists/roi-kuper-2784
Kupka Frantisek,M,1871–1957,1871,1957,"Opocno, Ceská Republika","Puteaux, France",http://www.tate.org.uk/art/artists/frantisek-kupka-1449
Kuri Gabriel,M,born 1970,1970,1970,México,Unknown,http://www.tate.org.uk/art/artists/gabriel-kuri-10169
Kusama Yayoi,F,born 1929,1929,1970,"Matsumoto, Nihon",Unknown,http://www.tate.org.uk/art/artists/yayoi-kusama-8094
Kushner Robert,M,born 1949,1949,1970,"Pasedena, United States",Unknown,http://www.tate.org.uk/art/artists/robert-kushner-1450
KwieKulik,M,"born 1945, born 1947",1945,1970,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/kwiekulik-przemyslaw-kwiek-zofia-kulik-10957
La Dell Edwin,M,1914–1970,1914,1970,"Coventry, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/edwin-la-dell-1453
La Noue Terence,M,born 1941,1941,1929,"Hammond, United States",Unknown,http://www.tate.org.uk/art/artists/terence-la-noue-6359
La Thangue Henry Herbert,M,1859–1929,1859,1929,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/henry-herbert-la-thangue-331
Laabs Hans,M,1915–2004,1915,2004,"Trzebiatów, Polska","Berlin, Deutschland",http://www.tate.org.uk/art/artists/hans-laabs-1451
Labruzzi Carlo,M,1748–1817,1748,1817,"Roma, Italia","Perugia, Italia",http://www.tate.org.uk/art/artists/carlo-labruzzi-2622
Lacey Bruce,M,born 1927,1927,1842,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/bruce-lacey-1452
Lacy Suzanne,M,born 1945,1945,1842,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/suzanne-lacy-13736
Ladbrooke Robert,M,1770–1842,1770,1842,"Norwich, United Kingdom","Norwich, United Kingdom",http://www.tate.org.uk/art/artists/robert-ladbrooke-316
Laidlay William James,M,1846–1912,1846,1912,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/william-james-laidlay-317
Laing Gerald,M,1936–2011,1936,2011,"Newcastle upon Tyne, United Kingdom","Scotland, United Kingdom",http://www.tate.org.uk/art/artists/gerald-laing-1454
Laing J.S.,M,active 1847,1847,1847,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/js-laing-2511
Lalic Maria,F,born 1952,1952,1982,"Yorkshire, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/maria-lalic-2639
Lam Wifredo,M,1902–1982,1902,1982,"Sagua la Grande, Cuba","Paris, France",http://www.tate.org.uk/art/artists/wifredo-lam-1455
Lamb Henry,M,1883–1960,1883,1960,"Adelaide, Australia","Salisbury, United Kingdom",http://www.tate.org.uk/art/artists/henry-lamb-1456
Lamb Lynton,M,1907–1977,1907,1977,Bharat,"England, United Kingdom",http://www.tate.org.uk/art/artists/lynton-lamb-1457
Lambert George,M,1700–1765,1700,1765,"Kent, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/george-lambert-318
Lambert James,M,1725–1779 or 88,1725,1779,"Willingdon, United Kingdom","Lewes, United Kingdom",http://www.tate.org.uk/art/artists/james-lambert-319
Lambert Maurice,M,1901–1964,1901,1964,"Paris, France",Unknown,http://www.tate.org.uk/art/artists/maurice-lambert-1458
Lambie Jim,M,born 1964,1964,1977,"Glasgow, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/jim-lambie-4733
Lambourn George,M,1900–1977,1900,1977,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/george-lambourn-1459
Lamelas David,M,born 1946,1946,1986,"Buenos Aires, Argentina",Unknown,http://www.tate.org.uk/art/artists/david-lamelas-8787
Lancaster Mark,M,born 1938,1938,1986,"England, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/mark-lancaster-1460
Lancaster Osbert,M,1908–1986,1908,1986,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/osbert-lancaster-1461
Lancaster Rev. Richard Hume,M,1773–1853,1773,1853,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/rev-richard-hume-lancaster-320
Lance George,M,1802–1864,1802,1864,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/george-lance-321
Lanceley Colin,M,born 1938,1938,1879,"Dunedin, New Zealand",Unknown,http://www.tate.org.uk/art/artists/colin-lanceley-1462
Lander Reginald,M,born 1913,1913,1879,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/reginald-lander-1463
Landers Sean,M,born 1962,1962,1879,"Palmer, United States",Unknown,http://www.tate.org.uk/art/artists/sean-landers-2665
Landsaat Hans,M,born 1935,1935,1879,"Amsterdam, Nederland",Unknown,http://www.tate.org.uk/art/artists/hans-landsaat-1464
Landseer Charles,M,1799–1879,1799,1879,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/charles-landseer-322
Landseer Sir Edwin Henry,M,1802–1873,1802,1873,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/sir-edwin-henry-landseer-323
Landy Michael,M,born 1963,1963,1859,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/michael-landy-2409
Lane Abigail,F,born 1967,1967,1859,"Penzance, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/abigail-lane-2660
Lane Samuel,M,1780–1859,1780,1859,"King's Lynn, United Kingdom","Ipswich, United Kingdom",http://www.tate.org.uk/art/artists/samuel-lane-324
Lane Theodore,M,1800–1828,1800,1828,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/theodore-lane-325
Lang Daniel,M,born 1935,1935,1965,"Tulsa, United States",Unknown,http://www.tate.org.uk/art/artists/daniel-lang-1465
Lange Dorothea,F,1895–1965,1895,1965,"Hoboken, United States",Unknown,http://www.tate.org.uk/art/artists/dorothea-lange-9075
Langlands and Bell Ben and Nikki,M,"born 1955, born 1959",1955,1917,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/langlands-bell-ben-langlands-and-nikki-bell-2599
Langlois Denis,M,born 1945,1945,1917,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/denis-langlois-1466
Lanteri Edouard,M,1848–1917,1848,1917,"Auxerre, France","London, United Kingdom",http://www.tate.org.uk/art/artists/edouard-lanteri-326
Lanyon Peter,M,1918–1964,1918,1964,"Saint Ives, United Kingdom","Taunton, United Kingdom",http://www.tate.org.uk/art/artists/peter-lanyon-1467
Laporte George Henry,M,1799–1873,1799,1873,"Hannover, Deutschland","Paddington, United Kingdom",http://www.tate.org.uk/art/artists/george-henry-laporte-327
Laporte John,M,1761–1839,1761,1839,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/john-laporte-328
Larionov Michel,M,1881–1964,1881,1964,"Tiraspol, Moldova","Fontenay-aux-Roses, France",http://www.tate.org.uk/art/artists/michel-larionov-1468
Laroon Marcellus the Younger,M,1679–1772,1679,1772,"Chiswick, United Kingdom","Oxford, United Kingdom",http://www.tate.org.uk/art/artists/marcellus-laroon-the-younger-329
Lartigue Jacques-Henri,M,1894–1986,1894,1986,"Courbevoie, France","Nice, France",http://www.tate.org.uk/art/artists/jacques-henri-lartigue-11403
László Philip Alexius de,M,1869–1937,1869,1937,"Budapest, Magyarország","London, United Kingdom",http://www.tate.org.uk/art/artists/philip-alexius-de-laszlo-1469
Latham James,M,1696–1747,1696,1747,"Munster, Éire","Dublin, Éire",http://www.tate.org.uk/art/artists/james-latham-330
Latham John,M,1921– 2006,1921,2006,Zimbabwe,"London, United Kingdom",http://www.tate.org.uk/art/artists/john-latham-1470
Lattanzi Luciano,M,1925–1999,1925,1999,"Carrara, Italia",Unknown,http://www.tate.org.uk/art/artists/luciano-lattanzi-1471
Laurence Samuel,M,1812–1884,1812,1884,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/samuel-laurence-2436
Laurencin Marie,F,1885–1956,1885,1956,"Paris, France","Paris, France",http://www.tate.org.uk/art/artists/marie-laurencin-1472
Laurens Henri,M,1885–1954,1885,1954,"Paris, France","Paris, France",http://www.tate.org.uk/art/artists/henri-laurens-1473
Lausen Jens,M,born 1937,1937,1941,"Hamburg, Deutschland",Unknown,http://www.tate.org.uk/art/artists/jens-lausen-1475
Lavery Sir John,M,1856–1941,1856,1941,"Belfast, United Kingdom","Kilkenny, Éire",http://www.tate.org.uk/art/artists/sir-john-lavery-332
Law Alfred,M,19th century,1800,1899,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/alfred-law-2623
Law Bob,M,1934–2004,1934,2004,"Brentford, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/bob-law-1476
Lawes-Wittewronge Sir Charles Bt,M,1843–1911,1843,1911,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/sir-charles-lawes-wittewronge-bt-333
Lawler Louise,F,born 1947,1947,1830,"Hazleton, United States",Unknown,http://www.tate.org.uk/art/artists/louise-lawler-8140
Lawrence Eileen,F,born 1946,1946,1830,"Leith, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/eileen-lawrence-1477
Lawrence Sir Thomas,M,1769–1830,1769,1830,"Bristol, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/sir-thomas-lawrence-334
Lawson Cecil,M,1849–1882,1849,1882,"Wellington, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/cecil-gordon-lawson-335
Lawson Thomas,M,born 1951,1951,1966,"Glasgow, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/thomas-lawson-16123
Le Bas Edward,M,1904–1966,1904,1966,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/edward-le-bas-1479
Le Brocquy Louis,M,1916–2012,1916,2012,"Dublin, Éire","Dublin, Éire",http://www.tate.org.uk/art/artists/louis-le-brocquy-1480
Le Brun Christopher PRA,M,born 1951,1951,1848,"Portsmouth, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/christopher-le-brun-pra-1481
Le Capelain Jean,M,1814–1848,1814,1848,Saint Hélier,Jersey,http://www.tate.org.uk/art/artists/jean-le-capelain-338
Le Corbusier,M,1887–1965,1887,1965,"La Chaux-de-Fonds, Schweiz","Roquebrune, France",http://www.tate.org.uk/art/artists/le-corbusier-charles-edouard-jeanneret-1483
Le Marchand David,M,1674–1726,1674,1726,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/david-le-marchand-17924
Le Parc Julio,M,born 1928,1928,1695,"Mendoza, Argentina",Unknown,http://www.tate.org.uk/art/artists/julio-le-parc-1494
Le Piper Francis,M,?1640–1695,1640,1695,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/francis-le-piper-345
Le Sidaner Henri,M,1862–1939,1862,1939,"Mauritius, Mauritius",Unknown,http://www.tate.org.uk/art/artists/henri-le-sidaner-1495
Le Sueur Hubert,M,c.1590 – after 1658,1590,1658,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/hubert-le-sueur-17197
Le Witt Jan,M,1907–1991,1907,1991,"Czestochowa, Polska",Unknown,http://www.tate.org.uk/art/artists/jan-le-witt-1503
Leach Bernard,M,1887–1979,1887,1979,"Hong Kong, Zhonghua",Unknown,http://www.tate.org.uk/art/artists/bernard-leach-1478
Leach David,M,1911–2005,1911,2005,"Tokyo, Nihon",Unknown,http://www.tate.org.uk/art/artists/david-leach-7651
Leach Janet,F,1918–1997,1918,1997,"Grand Saline, United States","Saint Ives, United Kingdom",http://www.tate.org.uk/art/artists/janet-leach-8805
Leader Benjamin Williams,M,1831–1923,1831,1923,"England, United Kingdom",Shere,http://www.tate.org.uk/art/artists/benjamin-williams-leader-336
Leaman Jonathan,M,born 1954,1954,1888,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/jonathan-leaman-2642
Leapman Edwina,F,born 1934,1934,1888,"Hampshire, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/edwina-leapman-10681
Lear Edward,M,1812–1888,1812,1888,"Greater London, United Kingdom","San Remo, Italia",http://www.tate.org.uk/art/artists/edward-lear-337
Leck Bart van der,M,1876–1958,1876,1958,"Utrecht, Nederland","Blaricum, Nederland",http://www.tate.org.uk/art/artists/bart-van-der-leck-1482
Leckey Mark,M,born 1964,1964,1960,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/mark-leckey-6877
Ledger Janet,F,born 1931,1931,1960,"Northampton, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/janet-ledger-1484
Ledward Gilbert,M,1888–1960,1888,1960,"Chelsea, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/gilbert-ledward-1485
Lee Catherine,F,born 1950,1950,1879,"Pampa, United States",Unknown,http://www.tate.org.uk/art/artists/catherine-lee-2246
